"","L_precuneuslag","L_supfrontallag","L_angularlag","L_postcingulatelag","L_mPFClag","L_midtemporallag","L_antcingulatelag","R_precuneuslag","R_supfrontallag","R_antcingulatelag","R_postcingulatelag","R_angularlag","R_mPFClag","R_midtemporallag","L_precuneus","L_supfrontal","L_angular","L_postcingulate","L_mPFC","L_midtemporal","L_antcingulate","R_precuneus","R_supfrontal","R_antcingulate","R_postcingulate","R_angular","R_mPFC","R_midtemporal"
"L_precuneus",0.035,0,0.0608,0,0,0,0,0.0563,0,0,0,0.0586,0,0,0,0,0.0541,0,0,0,0,0.0447,0,0,0,0.0538,0,0
"L_supfrontal",0,0.0403,0.0543,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0509,0,0,0,0,0,0,0,0,0,0,0
"L_angular",0,0,0.0351,0,0,0,0,0,0,0,0,0.039,0,0,0,0,0,0.0174,0,0,0.018,0,0,0.027,0,0.0402,0,0
"L_postcingulate",0,0,0,0.0398,0,0,0,0,0,0,0.0693,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0604,0,0,0
"L_mPFC",0.0402,0,0,0,0.0352,0,0,0,0,0.0262,0,0,0,0,0.0386,0,0,0,0,0,0.0193,0,0,0,0,0,0,0
"L_midtemporal",0,0,0,0,0,0.0381,0,0,0,0,0,0,0,0.0338,0,0,0,0,0.016,0,0,0,0,0.0129,0,0.0201,0,0.0284
"L_antcingulate",0,0,0,0,0.0481,0,0.0382,0,0,0.066,0,0,0,0,0,0,0,0,0,0,0,0,0.0806,0.0542,0,0,0,0
"R_precuneus",0,0,0,0,0,0,0,0.0383,0,0,0.0417,0.0502,0,0,0,0,0,0,0,0,0,0,0,0,0.0393,0.0443,0,0
"R_supfrontal",0,0.0375,0,0,0,0,0,0,0.0408,0,0,0,0,0,0,0.0344,0,0,0.0195,0,0,0,0,0,0,0,0,0.0252
"R_antcingulate",0,0,0,0,0,0,0,0,0,0.0372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_postcingulate",0,0,0,0,0,0,0.0276,0,0,0,0.0392,0,0,0,0,0,0,0,0,0,0.0261,0,0.0567,0,0,0,0,0
"R_angular",0,0,0,0,0,0,0,0,0,0,0,0.0359,0,0,0,0,0,0,0,0,0,0,0,0.024,0,0,0,0.0416
"R_mPFC",0,0,0,0,0,0,0,0,0,0.0313,0,0,0.036,0,0,0,0,0.0211,0.0276,0,0,0.033,0,0.0291,0,0,0,0
"R_midtemporal",0,0,0,0,0.0323,0,0,0.0491,0,0,0,0,0.0584,0.0406,0,0,0,0,0,0,0,0.0502,0.0528,0,0,0,0.0561,0
